AlgoName,FileName,PopSize,Gen,Cost
ROI,testfiles/eil51.tsp,20,0,1519.8568153083838
ROI,testfiles/eil51.tsp,20,2000,764.5971933686237
ROI,testfiles/eil51.tsp,20,5000,619.8076225467712
ROI,testfiles/eil51.tsp,20,10000,512.1281295937656
ROI,testfiles/eil51.tsp,20,20000,464.58173268964924
TOI,testfiles/eil51.tsp,20,0,1510.965516034605
TOI,testfiles/eil51.tsp,20,2000,576.4787793911892
TOI,testfiles/eil51.tsp,20,5000,477.7603082052569
TOI,testfiles/eil51.tsp,20,10000,456.17224735909423
TOI,testfiles/eil51.tsp,20,20000,453.0107773496448
TOS,testfiles/eil51.tsp,20,0,1530.4736599627493
TOS,testfiles/eil51.tsp,20,2000,664.4580445194617
TOS,testfiles/eil51.tsp,20,5000,576.3235743314211
TOS,testfiles/eil51.tsp,20,10000,543.8444612389662
TOS,testfiles/eil51.tsp,20,20000,541.6435728609129
ROI,testfiles/eil51.tsp,50,0,1468.3998973552307
ROI,testfiles/eil51.tsp,50,2000,819.7912946293443
ROI,testfiles/eil51.tsp,50,5000,680.3965981899129
ROI,testfiles/eil51.tsp,50,10000,552.8941609495323
ROI,testfiles/eil51.tsp,50,20000,522.9204849867498
TOI,testfiles/eil51.tsp,50,0,1494.2473798051512
TOI,testfiles/eil51.tsp,50,2000,529.738886776142
TOI,testfiles/eil51.tsp,50,5000,460.23660443287974
TOI,testfiles/eil51.tsp,50,10000,443.9413042512596
TOI,testfiles/eil51.tsp,50,20000,443.94130425125957
TOS,testfiles/eil51.tsp,50,0,1497.6279618900462
TOS,testfiles/eil51.tsp,50,2000,683.3354929541571
TOS,testfiles/eil51.tsp,50,5000,590.5668684336118
TOS,testfiles/eil51.tsp,50,10000,532.139015375612
TOS,testfiles/eil51.tsp,50,20000,530.9864219892971
ROI,testfiles/eil51.tsp,100,0,1362.4867446476946
ROI,testfiles/eil51.tsp,100,2000,927.9793166974575
ROI,testfiles/eil51.tsp,100,5000,766.948370223173
ROI,testfiles/eil51.tsp,100,10000,676.6830989797038
ROI,testfiles/eil51.tsp,100,20000,578.3582510491486
TOI,testfiles/eil51.tsp,100,0,1408.9012534365438
TOI,testfiles/eil51.tsp,100,2000,543.7186124312186
TOI,testfiles/eil51.tsp,100,5000,474.00538931569025
TOI,testfiles/eil51.tsp,100,10000,452.9990692233915
TOI,testfiles/eil51.tsp,100,20000,451.7710430983118
TOS,testfiles/eil51.tsp,100,0,1423.447390025226
TOS,testfiles/eil51.tsp,100,2000,599.3305701491834
TOS,testfiles/eil51.tsp,100,5000,570.9247368054902
TOS,testfiles/eil51.tsp,100,10000,561.9425773950996
TOS,testfiles/eil51.tsp,100,20000,561.9425773950996
ROI,testfiles/eil51.tsp,200,0,1432.339572119309
ROI,testfiles/eil51.tsp,200,2000,1086.0276359607983
ROI,testfiles/eil51.tsp,200,5000,864.0254735627171
ROI,testfiles/eil51.tsp,200,10000,761.3298296814738
ROI,testfiles/eil51.tsp,200,20000,654.7502570443766
TOI,testfiles/eil51.tsp,200,0,1394.2896366613168
TOI,testfiles/eil51.tsp,200,2000,559.5296219969603
TOI,testfiles/eil51.tsp,200,5000,471.1992952346121
TOI,testfiles/eil51.tsp,200,10000,444.8794700777888
TOI,testfiles/eil51.tsp,200,20000,441.7884958044838
TOS,testfiles/eil51.tsp,200,0,1401.499808964755
TOS,testfiles/eil51.tsp,200,2000,632.5032309197467
TOS,testfiles/eil51.tsp,200,5000,559.7617444348604
TOS,testfiles/eil51.tsp,200,10000,536.8980508486349
TOS,testfiles/eil51.tsp,200,20000,523.8598908811409
ROI,testfiles/eil76.tsp,20,0,2294.842607686888
ROI,testfiles/eil76.tsp,20,2000,1182.1331883320918
ROI,testfiles/eil76.tsp,20,5000,990.1639294500591
ROI,testfiles/eil76.tsp,20,10000,818.7978690388493
ROI,testfiles/eil76.tsp,20,20000,693.8020371315104
TOI,testfiles/eil76.tsp,20,0,2332.5984734443573
TOI,testfiles/eil76.tsp,20,2000,882.2897812100072
TOI,testfiles/eil76.tsp,20,5000,726.0203784638372
TOI,testfiles/eil76.tsp,20,10000,616.2995667324068
TOI,testfiles/eil76.tsp,20,20000,597.6250663259945
TOS,testfiles/eil76.tsp,20,0,2238.6079522028786
TOS,testfiles/eil76.tsp,20,2000,1040.384941613293
TOS,testfiles/eil76.tsp,20,5000,929.3466540129498
TOS,testfiles/eil76.tsp,20,10000,861.9855340028955
TOS,testfiles/eil76.tsp,20,20000,812.3465659169719
ROI,testfiles/eil76.tsp,50,0,2127.8117078336636
ROI,testfiles/eil76.tsp,50,2000,1300.713347175747
ROI,testfiles/eil76.tsp,50,5000,1149.9295807109097
ROI,testfiles/eil76.tsp,50,10000,1006.9284085369635
ROI,testfiles/eil76.tsp,50,20000,889.7324878100965
TOI,testfiles/eil76.tsp,50,0,2168.3468571888247
TOI,testfiles/eil76.tsp,50,2000,837.5251051214639
TOI,testfiles/eil76.tsp,50,5000,697.2369718400255
TOI,testfiles/eil76.tsp,50,10000,635.7172780902963
TOI,testfiles/eil76.tsp,50,20000,577.8294470137536
TOS,testfiles/eil76.tsp,50,0,2220.4423018834536
TOS,testfiles/eil76.tsp,50,2000,1132.4694366911233
TOS,testfiles/eil76.tsp,50,5000,916.5992904062189
TOS,testfiles/eil76.tsp,50,10000,821.7003823073526
TOS,testfiles/eil76.tsp,50,20000,788.2668000454015
ROI,testfiles/eil76.tsp,100,0,2279.3406606087624
ROI,testfiles/eil76.tsp,100,2000,1598.1202578781317
ROI,testfiles/eil76.tsp,100,5000,1283.3788601158678
