# Test three evolutionary algorithms and benchmark the best
# ROI: RouletteWheel,	OrderCrossOver(p=1.0),	Inversion Mutation(p=1.0)
# TOI: Tournament(k=popSize/3),	OrderCrossOver(p=1.0),	Inversion Mutation(p=1.0)
# TOS: Tournament(k=popSize/3),	OrderCrossOver(p=1.0),	Swap Mutation(p=1.0
# Notes: Results for PR2392 and USA13509 will come at the end because of long time of running.
# Notes: Results are in CSV format

# Compare three algorithms with varying population sizes
AlgoName,FileName,PopSize,Gen,Cost
ROI,testfiles/eil51.tsp,20,0,1561.8646150741815
ROI,testfiles/eil51.tsp,20,2000,663.7942395812131
ROI,testfiles/eil51.tsp,20,5000,577.7953903294716
ROI,testfiles/eil51.tsp,20,10000,487.5164235133776
ROI,testfiles/eil51.tsp,20,20000,461.299623968483
TOI,testfiles/eil51.tsp,20,0,1468.5040699391575
TOI,testfiles/eil51.tsp,20,2000,542.7670163997076
TOI,testfiles/eil51.tsp,20,5000,475.3692870355254
TOI,testfiles/eil51.tsp,20,10000,459.51940409526736
TOI,testfiles/eil51.tsp,20,20000,452.080340446731
TOS,testfiles/eil51.tsp,20,0,1473.6064469672158
TOS,testfiles/eil51.tsp,20,2000,627.1609027617679
TOS,testfiles/eil51.tsp,20,5000,543.5738170199662
TOS,testfiles/eil51.tsp,20,10000,523.2887812383519
TOS,testfiles/eil51.tsp,20,20000,517.7861034661098
ROI,testfiles/eil51.tsp,50,0,1438.9407406206349
ROI,testfiles/eil51.tsp,50,2000,794.6076358976518
ROI,testfiles/eil51.tsp,50,5000,629.7950085750994
ROI,testfiles/eil51.tsp,50,10000,590.0968162308056
ROI,testfiles/eil51.tsp,50,20000,533.3204476424544
TOI,testfiles/eil51.tsp,50,0,1427.9289902063251
TOI,testfiles/eil51.tsp,50,2000,535.509825963245
TOI,testfiles/eil51.tsp,50,5000,463.4430773238603
TOI,testfiles/eil51.tsp,50,10000,442.1063662556817
TOI,testfiles/eil51.tsp,50,20000,442.1063662556816
TOS,testfiles/eil51.tsp,50,0,1427.8646853388395
TOS,testfiles/eil51.tsp,50,2000,665.2331001940207
TOS,testfiles/eil51.tsp,50,5000,591.139277938313
TOS,testfiles/eil51.tsp,50,10000,522.097790987156
TOS,testfiles/eil51.tsp,50,20000,522.097790987156
ROI,testfiles/eil51.tsp,100,0,1431.7808042563947
ROI,testfiles/eil51.tsp,100,2000,873.1434266421755
ROI,testfiles/eil51.tsp,100,5000,748.5071411531042
ROI,testfiles/eil51.tsp,100,10000,624.1275914669121
