AlgoName,FileName,PopSize,Gen,Cost
ROI,testfiles/eil51.tsp,20,20000,448.2616523577176
TOI,testfiles/eil51.tsp,20,20000,449.1551647204259
TOS,testfiles/eil51.tsp,20,20000,478.6021240388741
ROI,testfiles/eil51.tsp,50,20000,547.0347898701365
TOI,testfiles/eil51.tsp,50,20000,445.8158975638033
TOS,testfiles/eil51.tsp,50,20000,518.2071953708411
ROI,testfiles/eil51.tsp,100,20000,529.167360371931
TOI,testfiles/eil51.tsp,100,20000,451.3860860731813
TOS,testfiles/eil51.tsp,100,20000,461.1125399337269
ROI,testfiles/eil51.tsp,200,20000,632.7635281023139
TOI,testfiles/eil51.tsp,200,20000,436.0148995054893
TOS,testfiles/eil51.tsp,200,20000,526.3485027100402
ROI,testfiles/eil76.tsp,20,20000,688.4627568534672
TOI,testfiles/eil76.tsp,20,20000,588.5853720690662
TOS,testfiles/eil76.tsp,20,20000,770.7778146014921
ROI,testfiles/eil76.tsp,50,20000,766.5982450765142
TOI,testfiles/eil76.tsp,50,20000,594.3856510568679
TOS,testfiles/eil76.tsp,50,20000,747.7313661533426
ROI,testfiles/eil76.tsp,100,20000,872.1388886390057
TOI,testfiles/eil76.tsp,100,20000,566.3204339443637
TOS,testfiles/eil76.tsp,100,20000,769.5291085940736
ROI,testfiles/eil76.tsp,200,20000,1008.4755401367947
TOI,testfiles/eil76.tsp,200,20000,578.43481206815
TOS,testfiles/eil76.tsp,200,20000,838.6123938789167
ROI,testfiles/eil101.tsp,20,20000,862.0818674055346
TOI,testfiles/eil101.tsp,20,20000,728.7999787096749
TOS,testfiles/eil101.tsp,20,20000,976.2099780476362
ROI,testfiles/eil101.tsp,50,20000,1121.0511008928745
TOI,testfiles/eil101.tsp,50,20000,726.4916496762877
TOS,testfiles/eil101.tsp,50,20000,960.7329700313087
ROI,testfiles/eil101.tsp,100,20000,1306.472283447136
TOI,testfiles/eil101.tsp,100,20000,712.1938246084375
TOS,testfiles/eil101.tsp,100,20000,989.84433406378
ROI,testfiles/eil101.tsp,200,20000,1426.4843922824355
TOI,testfiles/eil101.tsp,200,20000,740.6594481866434
TOS,testfiles/eil101.tsp,200,20000,919.1068123985623
ROI,testfiles/st70.tsp,20,20000,795.6394875655925
TOI,testfiles/st70.tsp,20,20000,726.0058418469422
TOS,testfiles/st70.tsp,20,20000,1024.3832752322614
ROI,testfiles/st70.tsp,50,20000,1032.503229008394
TOI,testfiles/st70.tsp,50,20000,718.2148603292508
TOS,testfiles/st70.tsp,50,20000,1075.330936897306
ROI,testfiles/st70.tsp,100,20000,1209.871314513259
TOI,testfiles/st70.tsp,100,20000,729.2096774624911
TOS,testfiles/st70.tsp,100,20000,1144.1141794304738
ROI,testfiles/st70.tsp,200,20000,1277.1084724163813
TOI,testfiles/st70.tsp,200,20000,713.2525955924149
TOS,testfiles/st70.tsp,200,20000,1129.6065599449062
ROI,testfiles/kroA100.tsp,20,20000,31233.97456344354
TOI,testfiles/kroA100.tsp,20,20000,23969.11947834872
